,发生时间,发生时间,发生时间
2,2014-10-19 07:01:56,True,
56,2014-10-19 07:38:16,True,True
381,2014-10-19 09:46:38,True,True
382,2014-10-19 09:46:40,False,False
384,2014-10-19 09:47:15,False,False
404,2014-10-19 11:50:17,True,True
407,2014-10-19 13:56:21,True,True
410,2014-10-19 15:34:39,True,True
411,2014-10-19 15:34:40,False,False
412,2014-10-19 15:34:45,False,False
413,2014-10-19 15:34:47,False,False
414,2014-10-19 15:34:49,False,False
415,2014-10-19 15:34:53,False,False
416,2014-10-19 15:34:59,False,False
417,2014-10-19 15:35:03,False,False
418,2014-10-19 15:35:05,False,False
419,2014-10-19 15:35:15,False,False
420,2014-10-19 15:35:17,False,False
421,2014-10-19 15:35:21,False,False
422,2014-10-19 15:35:24,False,False
423,2014-10-19 15:35:32,False,False
424,2014-10-19 15:35:34,False,False
425,2014-10-19 15:35:40,False,False
426,2014-10-19 15:35:42,False,False
427,2014-10-19 15:35:46,False,False
428,2014-10-19 15:35:48,False,False
429,2014-10-19 15:36:04,False,False
430,2014-10-19 15:36:06,False,False
431,2014-10-19 15:36:08,False,False
432,2014-10-19 15:36:10,False,False
433,2014-10-19 15:36:20,False,False
434,2014-10-19 15:36:22,False,False
435,2014-10-19 15:36:32,False,False
436,2014-10-19 15:36:34,False,False
437,2014-10-19 15:36:38,False,False
438,2014-10-19 15:36:40,False,False
439,2014-10-19 15:36:50,False,False
440,2014-10-19 15:36:52,False,False
441,2014-10-19 15:36:54,False,False
442,2014-10-19 15:37:00,False,False
443,2014-10-19 15:37:02,False,False
444,2014-10-19 15:37:06,False,False
445,2014-10-19 15:37:19,False,False
446,2014-10-19 15:37:21,False,False
447,2014-10-19 15:37:29,False,False
448,2014-10-19 15:37:31,False,False
449,2014-10-19 15:37:37,False,False
450,2014-10-19 15:37:39,False,False
451,2014-10-19 15:37:41,False,False
454,2014-10-19 15:37:59,False,False
455,2014-10-19 15:38:01,False,False
456,2014-10-19 15:38:25,False,False
457,2014-10-19 15:38:31,False,False
458,2014-10-19 15:38:33,False,False
459,2014-10-19 15:38:35,False,False
460,2014-10-19 15:38:37,False,False
461,2014-10-19 15:39:06,False,False
462,2014-10-19 15:39:10,False,False
463,2014-10-19 15:39:12,False,False
464,2014-10-19 15:39:14,False,False
465,2014-10-19 15:39:21,False,False
466,2014-10-19 15:39:40,False,False
467,2014-10-19 15:39:42,False,False
468,2014-10-19 15:39:44,False,False
469,2014-10-19 15:39:48,False,False
470,2014-10-19 15:39:52,False,False
471,2014-10-19 15:40:00,False,False
472,2014-10-19 15:40:02,False,False
473,2014-10-19 15:40:18,False,False
474,2014-10-19 15:40:20,False,False
475,2014-10-19 15:40:24,False,False
476,2014-10-19 15:40:26,False,False
477,2014-10-19 15:40:28,False,False
478,2014-10-19 15:40:30,False,False
479,2014-10-19 15:40:32,False,False
480,2014-10-19 15:40:43,False,False
481,2014-10-19 15:40:45,False,False
482,2014-10-19 15:40:53,False,False
483,2014-10-19 15:40:55,False,False
484,2014-10-19 15:40:59,False,False
485,2014-10-19 15:41:01,False,False
486,2014-10-19 15:41:07,False,False
487,2014-10-19 15:41:09,False,False
488,2014-10-19 15:41:11,False,False
489,2014-10-19 15:41:13,False,False
490,2014-10-19 15:41:25,False,False
491,2014-10-19 15:41:27,False,False
492,2014-10-19 15:41:29,False,False
493,2014-10-19 15:41:35,False,False
494,2014-10-19 15:41:42,False,False
495,2014-10-19 15:41:43,False,False
496,2014-10-19 15:41:45,False,False
497,2014-10-19 15:41:47,False,False
498,2014-10-19 15:41:49,False,False
499,2014-10-19 15:41:57,False,False
500,2014-10-19 15:42:03,False,False
501,2014-10-19 15:42:09,False,False
502,2014-10-19 15:42:11,False,False
503,2014-10-19 15:42:15,False,False
504,2014-10-19 15:42:22,False,False
505,2014-10-19 15:42:26,False,False
506,2014-10-19 15:42:30,False,False
507,2014-10-19 15:42:42,False,False
508,2014-10-19 15:42:50,False,False
509,2014-10-19 15:42:54,False,False
510,2014-10-19 15:42:56,False,False
511,2014-10-19 15:43:00,False,False
512,2014-10-19 15:43:02,False,False
513,2014-10-19 15:43:04,False,False
514,2014-10-19 15:43:08,False,False
515,2014-10-19 15:43:12,False,False
516,2014-10-19 15:43:14,False,False
517,2014-10-19 15:43:16,False,False
518,2014-10-19 15:43:18,False,False
519,2014-10-19 15:43:20,False,False
520,2014-10-19 15:43:22,False,False
521,2014-10-19 15:43:24,False,False
522,2014-10-19 15:43:26,False,False
523,2014-10-19 15:43:28,False,False
524,2014-10-19 15:43:34,False,False
525,2014-10-19 15:43:36,False,False
526,2014-10-19 15:43:46,False,False
527,2014-10-19 15:43:52,False,False
528,2014-10-19 15:43:54,False,False
529,2014-10-19 15:44:03,False,False
530,2014-10-19 15:44:05,False,False
531,2014-10-19 15:44:19,False,False
532,2014-10-19 15:44:21,False,False
533,2014-10-19 15:44:35,False,False
534,2014-10-19 15:44:39,False,False
535,2014-10-19 15:44:45,False,False
536,2014-10-19 15:44:47,False,False
537,2014-10-19 15:44:51,False,False
538,2014-10-19 15:44:59,False,False
539,2014-10-19 15:45:01,False,False
540,2014-10-19 15:45:05,False,False
541,2014-10-19 15:45:07,False,False
542,2014-10-19 15:45:41,False,False
543,2014-10-19 15:45:45,False,False
544,2014-10-19 15:45:47,False,False
545,2014-10-19 15:45:50,False,False
546,2014-10-19 15:45:56,False,False
547,2014-10-19 15:46:00,False,False
548,2014-10-19 15:46:10,False,False
549,2014-10-19 15:46:14,False,False
550,2014-10-19 15:46:16,False,False
551,2014-10-19 15:46:18,False,False
552,2014-10-19 15:46:26,False,False
553,2014-10-19 15:46:28,False,False
554,2014-10-19 15:46:32,False,False
555,2014-10-19 15:46:38,False,False
556,2014-10-19 15:46:40,False,False
557,2014-10-19 15:46:42,False,False
558,2014-10-19 15:46:46,False,False
559,2014-10-19 15:46:48,False,False
560,2014-10-19 15:46:54,False,False
561,2014-10-19 15:46:56,False,False
562,2014-10-19 15:47:00,False,False
563,2014-10-19 15:47:02,False,False
564,2014-10-19 15:47:06,False,False
565,2014-10-19 15:47:08,False,False
566,2014-10-19 15:47:10,False,False
567,2014-10-19 15:47:14,False,False
568,2014-10-19 15:47:18,False,False
569,2014-10-19 15:47:20,False,False
570,2014-10-19 15:47:24,False,False
571,2014-10-19 15:47:26,False,False
572,2014-10-19 15:47:34,False,False
573,2014-10-19 15:47:37,False,False
574,2014-10-19 15:47:41,False,False
575,2014-10-19 15:47:43,False,False
576,2014-10-19 15:47:45,False,False
577,2014-10-19 15:47:47,False,False
578,2014-10-19 15:47:55,False,False
579,2014-10-19 15:47:57,False,False
580,2014-10-19 15:47:59,False,False
581,2014-10-19 15:48:01,False,False
582,2014-10-19 15:48:03,False,False
583,2014-10-19 15:48:05,False,False
584,2014-10-19 15:48:15,False,False
585,2014-10-19 15:48:17,False,False
586,2014-10-19 15:48:25,False,False
587,2014-10-19 15:48:27,False,False
588,2014-10-19 15:48:29,False,False
589,2014-10-19 15:48:31,False,False
590,2014-10-19 15:48:33,False,False
591,2014-10-19 15:48:35,False,False
592,2014-10-19 15:48:39,False,False
593,2014-10-19 15:48:46,False,False
612,2014-10-19 15:55:15,True,True
613,2014-10-19 15:55:19,False,False
614,2014-10-19 15:55:21,False,False
615,2014-10-19 15:55:23,False,False
616,2014-10-19 15:55:25,False,False
617,2014-10-19 15:55:27,False,False
618,2014-10-19 15:55:29,False,False
659,2014-10-19 17:23:21,True,True
660,2014-10-19 17:23:23,False,False
661,2014-10-19 17:23:25,False,False
662,2014-10-19 17:23:31,False,False
663,2014-10-19 17:23:33,False,False
664,2014-10-19 17:23:37,False,False
665,2014-10-19 17:23:41,False,False
667,2014-10-19 17:24:58,False,False
668,2014-10-19 17:25:00,False,False
669,2014-10-19 17:25:05,False,False
670,2014-10-19 17:25:06,False,False
671,2014-10-19 17:25:12,False,False
672,2014-10-19 17:25:14,False,False
673,2014-10-19 17:25:16,False,False
674,2014-10-19 17:25:20,False,False
675,2014-10-19 17:25:22,False,False
676,2014-10-19 17:25:26,False,False
677,2014-10-19 17:25:32,False,False
678,2014-10-19 17:25:35,False,False
679,2014-10-19 17:25:37,False,False
680,2014-10-19 17:25:39,False,False
681,2014-10-19 17:25:43,False,False
682,2014-10-19 17:25:47,False,False
683,2014-10-19 17:25:49,False,False
684,2014-10-19 17:25:51,False,False
685,2014-10-19 17:25:53,False,False
686,2014-10-19 17:25:57,False,False
687,2014-10-19 17:26:01,False,False
688,2014-10-19 17:26:05,False,False
689,2014-10-19 17:26:07,False,False
690,2014-10-19 17:26:09,False,False
691,2014-10-19 17:26:13,False,False
692,2014-10-19 17:26:17,False,False
693,2014-10-19 17:26:19,False,False
694,2014-10-19 17:26:23,False,False
695,2014-10-19 17:26:25,False,False
696,2014-10-19 17:26:27,False,False
697,2014-10-19 17:26:31,False,False
698,2014-10-19 17:26:35,False,False
699,2014-10-19 17:26:39,False,False
700,2014-10-19 17:26:41,False,False
701,2014-10-19 17:26:44,False,False
702,2014-10-19 17:26:45,False,False
703,2014-10-19 17:26:47,False,False
704,2014-10-19 17:26:55,False,False
705,2014-10-19 17:26:57,False,False
706,2014-10-19 17:27:20,False,False
707,2014-10-19 17:27:26,False,False
708,2014-10-19 17:27:27,False,False
709,2014-10-19 17:27:28,False,False
710,2014-10-19 17:27:32,False,False
711,2014-10-19 17:27:34,False,False
712,2014-10-19 17:27:38,False,False
713,2014-10-19 17:27:40,False,False
714,2014-10-19 17:27:44,False,False
715,2014-10-19 17:27:54,False,False
716,2014-10-19 17:27:58,False,False
717,2014-10-19 17:28:00,False,False
718,2014-10-19 17:28:02,False,False
719,2014-10-19 17:28:04,False,False
720,2014-10-19 17:28:08,False,False
721,2014-10-19 17:28:14,False,False
722,2014-10-19 17:28:16,False,False
723,2014-10-19 17:28:20,False,False
724,2014-10-19 17:28:22,False,False
725,2014-10-19 17:28:24,False,False
726,2014-10-19 17:28:32,False,False
727,2014-10-19 17:28:34,False,False
728,2014-10-19 17:28:40,False,False
729,2014-10-19 17:28:52,False,False
730,2014-10-19 17:28:54,False,False
731,2014-10-19 17:28:57,False,False
732,2014-10-19 17:28:59,False,False
733,2014-10-19 17:29:05,False,False
734,2014-10-19 17:29:11,False,False
735,2014-10-19 17:29:15,False,False
736,2014-10-19 17:29:19,False,False
737,2014-10-19 17:29:23,False,False
738,2014-10-19 17:29:29,False,False
739,2014-10-19 17:29:37,False,False
740,2014-10-19 17:29:41,False,False
741,2014-10-19 17:29:51,False,False
742,2014-10-19 17:29:53,False,False
743,2014-10-19 17:29:55,False,False
744,2014-10-19 17:30:01,False,False
745,2014-10-19 17:30:07,False,False
746,2014-10-19 17:30:09,False,False
747,2014-10-19 17:30:11,False,False
748,2014-10-19 17:30:13,False,False
749,2014-10-19 17:30:25,False,False
750,2014-10-19 17:30:29,False,False
751,2014-10-19 17:30:35,False,False
752,2014-10-19 17:30:48,False,False
753,2014-10-19 17:30:54,False,False
754,2014-10-19 17:30:58,False,False
755,2014-10-19 17:31:06,False,False
756,2014-10-19 17:31:08,False,False
757,2014-10-19 17:31:16,False,False
758,2014-10-19 17:31:20,False,False
759,2014-10-19 17:31:24,False,False
760,2014-10-19 17:31:28,False,False
761,2014-10-19 17:31:30,False,False
762,2014-10-19 17:31:32,False,False
765,2014-10-19 17:34:36,False,False
772,2014-10-19 17:46:21,True,True
773,2014-10-19 17:46:27,False,False
774,2014-10-19 17:46:29,False,False
775,2014-10-19 17:46:31,False,False
776,2014-10-19 17:46:33,False,False
777,2014-10-19 17:46:37,False,False
778,2014-10-19 17:46:41,False,False
779,2014-10-19 17:46:43,False,False
780,2014-10-19 17:46:45,False,False
781,2014-10-19 17:46:47,False,False
782,2014-10-19 17:46:51,False,False
783,2014-10-19 17:46:59,False,False
784,2014-10-19 17:47:01,False,False
785,2014-10-19 17:47:11,False,False
786,2014-10-19 17:47:13,False,False
787,2014-10-19 17:47:15,False,False
788,2014-10-19 17:47:17,False,False
789,2014-10-19 17:47:19,False,False
790,2014-10-19 17:47:21,False,False
791,2014-10-19 17:47:23,False,False
792,2014-10-19 17:47:26,False,False
793,2014-10-19 17:47:27,False,False
794,2014-10-19 17:47:31,False,False
795,2014-10-19 17:47:33,False,False
796,2014-10-19 17:47:35,False,False
797,2014-10-19 17:47:50,False,False
798,2014-10-19 17:47:52,False,False
799,2014-10-19 17:47:56,False,False
800,2014-10-19 17:48:00,False,False
801,2014-10-19 17:48:02,False,False
802,2014-10-19 17:48:04,False,False
803,2014-10-19 17:48:14,False,False
804,2014-10-19 17:48:18,False,False
805,2014-10-19 17:48:24,False,False
806,2014-10-19 17:48:26,False,False
807,2014-10-19 17:48:35,False,False
808,2014-10-19 17:48:36,False,False
809,2014-10-19 17:48:40,False,False
810,2014-10-19 17:48:42,False,False
811,2014-10-19 17:48:44,False,False
812,2014-10-19 17:48:56,False,False
813,2014-10-19 17:49:00,False,False
814,2014-10-19 17:49:02,False,False
815,2014-10-19 17:49:06,False,False
816,2014-10-19 17:49:08,False,False
817,2014-10-19 17:49:15,False,False
818,2014-10-19 17:49:16,False,False
819,2014-10-19 17:49:21,False,False
820,2014-10-19 17:49:22,False,False
821,2014-10-19 17:49:24,False,False
822,2014-10-19 17:49:27,False,False
823,2014-10-19 17:49:35,False,False
824,2014-10-19 17:49:37,False,False
825,2014-10-19 17:49:39,False,False
826,2014-10-19 17:49:43,False,False
827,2014-10-19 17:49:45,False,False
828,2014-10-19 17:49:47,False,False
829,2014-10-19 17:49:49,False,False
830,2014-10-19 17:49:51,False,False
831,2014-10-19 17:49:53,False,False
832,2014-10-19 17:49:55,False,False
833,2014-10-19 17:49:57,False,False
834,2014-10-19 17:49:59,False,False
835,2014-10-19 17:50:01,False,False
836,2014-10-19 17:50:03,False,False
837,2014-10-19 17:50:05,False,False
838,2014-10-19 17:50:11,False,False
839,2014-10-19 17:50:13,False,False
840,2014-10-19 17:50:15,False,False
841,2014-10-19 17:50:23,False,False
842,2014-10-19 17:50:25,False,False
843,2014-10-19 17:50:27,False,False
844,2014-10-19 17:50:31,False,False
845,2014-10-19 17:50:33,False,False
846,2014-10-19 17:50:35,False,False
847,2014-10-19 17:50:41,False,False
848,2014-10-19 17:50:47,False,False
849,2014-10-19 17:50:57,False,False
850,2014-10-19 17:50:59,False,False
851,2014-10-19 17:51:01,False,False
852,2014-10-19 17:51:03,False,False
853,2014-10-19 17:51:05,False,False
854,2014-10-19 17:51:08,False,False
855,2014-10-19 17:51:11,False,False
856,2014-10-19 17:51:14,False,False
857,2014-10-19 17:51:16,False,False
858,2014-10-19 17:51:18,False,False
859,2014-10-19 17:51:30,False,False
860,2014-10-19 17:51:32,False,False
861,2014-10-19 17:51:34,False,False
862,2014-10-19 17:51:36,False,False
863,2014-10-19 17:51:38,False,False
864,2014-10-19 17:51:40,False,False
865,2014-10-19 17:51:44,False,False
866,2014-10-19 17:51:46,False,False
867,2014-10-19 17:51:54,False,False
868,2014-10-19 17:51:58,False,False
869,2014-10-19 17:52:06,False,False
870,2014-10-19 17:52:08,False,False
871,2014-10-19 17:52:16,False,False
872,2014-10-19 17:52:18,False,False
873,2014-10-19 17:52:20,False,False
874,2014-10-19 17:52:22,False,False
875,2014-10-19 17:52:28,False,False
876,2014-10-19 17:52:30,False,False
877,2014-10-19 17:52:32,False,False
878,2014-10-19 17:52:34,False,False
879,2014-10-19 17:52:36,False,False
880,2014-10-19 17:52:38,False,False
881,2014-10-19 17:52:40,False,False
882,2014-10-19 17:52:42,False,False
883,2014-10-19 17:52:44,False,False
884,2014-10-19 17:52:47,False,False
885,2014-10-19 17:52:49,False,False
886,2014-10-19 17:52:51,False,False
887,2014-10-19 17:52:57,False,False
888,2014-10-19 17:53:01,False,False
889,2014-10-19 17:53:09,False,False
890,2014-10-19 17:53:11,False,False
891,2014-10-19 17:53:23,False,False
892,2014-10-19 17:53:27,False,False
893,2014-10-19 17:53:29,False,False
894,2014-10-19 17:53:35,False,False
895,2014-10-19 17:53:37,False,False
896,2014-10-19 17:53:39,False,False
897,2014-10-19 17:53:41,False,False
898,2014-10-19 17:53:43,False,False
899,2014-10-19 17:53:45,False,False
900,2014-10-19 17:53:49,False,False
901,2014-10-19 17:53:51,False,False
902,2014-10-19 17:53:57,False,False
903,2014-10-19 17:54:01,False,False
904,2014-10-19 17:54:05,False,False
905,2014-10-19 17:54:11,False,False
906,2014-10-19 17:54:15,False,False
907,2014-10-19 17:54:17,False,False
908,2014-10-19 17:54:23,False,False
909,2014-10-19 17:54:25,False,False
910,2014-10-19 17:54:32,False,False
911,2014-10-19 17:54:36,False,False
912,2014-10-19 17:54:42,False,False
913,2014-10-19 17:54:44,False,False
914,2014-10-19 17:54:46,False,False
915,2014-10-19 17:54:50,False,False
916,2014-10-19 17:54:52,False,False
917,2014-10-19 17:54:54,False,False
918,2014-10-19 17:54:56,False,False
919,2014-10-19 17:54:58,False,False
920,2014-10-19 17:55:00,False,False
921,2014-10-19 17:55:02,False,False
922,2014-10-19 17:55:04,False,False
1025,2014-10-19 21:32:45,True,True
1026,2014-10-19 21:32:47,False,False
1027,2014-10-19 21:32:51,False,False
1028,2014-10-19 21:32:53,False,False
1029,2014-10-19 21:33:03,False,False
1030,2014-10-19 21:33:06,False,False
1031,2014-10-19 21:33:08,False,False
1032,2014-10-19 21:33:10,False,False
1033,2014-10-19 21:33:22,False,False
1034,2014-10-19 21:33:24,False,False
1035,2014-10-19 21:33:26,False,False
1036,2014-10-19 21:33:28,False,False
1037,2014-10-19 21:33:30,False,False
1038,2014-10-19 21:33:32,False,False
1039,2014-10-19 21:33:34,False,False
1040,2014-10-19 21:33:40,False,False
1041,2014-10-19 21:33:44,False,False
1042,2014-10-19 21:33:46,False,False
1043,2014-10-19 21:33:48,False,False
1044,2014-10-19 21:33:50,False,False
1045,2014-10-19 21:34:00,False,False
1046,2014-10-19 21:34:06,False,False
1047,2014-10-19 21:34:08,False,False
1048,2014-10-19 21:34:10,False,False
1049,2014-10-19 21:34:12,False,False
1050,2014-10-19 21:34:14,False,False
1051,2014-10-19 21:34:23,False,False
1052,2014-10-19 21:34:24,False,False
1053,2014-10-19 21:34:26,False,False
1054,2014-10-19 21:34:42,False,False
1055,2014-10-19 21:34:44,False,False
1056,2014-10-19 21:34:49,False,False
1057,2014-10-19 21:34:51,False,False
1058,2014-10-19 21:34:59,False,False
1059,2014-10-19 21:35:03,False,False
1060,2014-10-19 21:35:05,False,False
1061,2014-10-19 21:35:07,False,False
1064,2014-10-19 21:36:38,False,False
1065,2014-10-19 21:36:40,False,False
1066,2014-10-19 21:36:50,False,False
1067,2014-10-19 21:36:52,False,False
1068,2014-10-19 21:37:10,False,False
1069,2014-10-19 21:37:12,False,False
1070,2014-10-19 21:37:18,False,False
1071,2014-10-19 21:37:20,False,False
1072,2014-10-19 21:37:26,False,False
1073,2014-10-19 21:37:28,False,False
1074,2014-10-19 21:37:36,False,False
1075,2014-10-19 21:37:41,False,False
1076,2014-10-19 21:37:54,False,False
1077,2014-10-19 21:38:00,False,False
1078,2014-10-19 21:38:02,False,False
1079,2014-10-19 21:38:04,False,False
1080,2014-10-19 21:38:10,False,False
1081,2014-10-19 21:38:13,False,False
1082,2014-10-19 21:38:15,False,False
1083,2014-10-19 21:38:17,False,False
1084,2014-10-19 21:38:19,False,False
1085,2014-10-19 21:38:21,False,False
1086,2014-10-19 21:38:31,False,False
1087,2014-10-19 21:38:43,False,False
1088,2014-10-19 21:38:47,False,False
1089,2014-10-19 21:38:49,False,False
1090,2014-10-19 21:38:53,False,False
1091,2014-10-19 21:38:59,False,False
1092,2014-10-19 21:39:03,False,False
1093,2014-10-19 21:39:05,False,False
1094,2014-10-19 21:39:09,False,False
1095,2014-10-19 21:39:12,False,False
1096,2014-10-19 21:39:15,False,False
1097,2014-10-19 21:39:17,False,False
1098,2014-10-19 21:39:23,False,False
1099,2014-10-19 21:39:25,False,False
1100,2014-10-19 21:39:27,False,False
1101,2014-10-19 21:39:29,False,False
1102,2014-10-19 21:39:31,False,False
1103,2014-10-19 21:39:33,False,False
1104,2014-10-19 21:39:39,False,False
1105,2014-10-19 21:39:43,False,False
1106,2014-10-19 21:39:45,False,False
1107,2014-10-19 21:39:50,False,False
1108,2014-10-19 21:39:56,False,False
1109,2014-10-19 21:39:58,False,False
1110,2014-10-19 21:40:12,False,False
1111,2014-10-19 21:40:14,False,False
1112,2014-10-19 21:40:26,False,False
1113,2014-10-19 21:40:30,False,False
1114,2014-10-19 21:40:34,False,False
1115,2014-10-19 21:40:38,False,False
1116,2014-10-19 21:40:40,False,False
1117,2014-10-19 21:40:50,False,False
1118,2014-10-19 21:40:52,False,False
1119,2014-10-19 21:40:54,False,False
1120,2014-10-19 21:40:58,False,False
1121,2014-10-19 21:41:08,False,False
1122,2014-10-19 21:41:10,False,False
1123,2014-10-19 21:41:12,False,False
1124,2014-10-19 21:41:18,False,False
1125,2014-10-19 21:41:22,False,False
1126,2014-10-19 21:41:26,False,False
1127,2014-10-19 21:41:30,False,False
1128,2014-10-19 21:41:32,False,False
1129,2014-10-19 21:41:37,False,False
1130,2014-10-19 21:41:39,False,False
1131,2014-10-19 21:41:49,False,False
1132,2014-10-19 21:41:55,False,False
1133,2014-10-19 21:41:59,False,False
1134,2014-10-19 21:42:01,False,False
1139,2014-10-19 21:47:05,True,True
1141,2014-10-19 21:54:30,True,True
1143,2014-10-19 21:54:38,False,False
1258,2014-10-20 06:59:33,True,True
1345,2014-10-20 07:22:54,True,True
1347,2014-10-20 07:25:20,False,False
1348,2014-10-20 07:25:22,False,False
1350,2014-10-20 07:26:00,False,False
1351,2014-10-20 07:26:02,False,False
1353,2014-10-20 07:26:22,False,False
1354,2014-10-20 07:26:27,False,False
1356,2014-10-20 07:27:43,False,False
1357,2014-10-20 07:27:47,False,False
1358,2014-10-20 07:27:49,False,False
1359,2014-10-20 07:27:51,False,False
1360,2014-10-20 07:27:55,False,False
1361,2014-10-20 07:27:59,False,False
1362,2014-10-20 07:28:09,False,False
1363,2014-10-20 07:28:18,False,False
1364,2014-10-20 07:28:20,False,False
1365,2014-10-20 07:28:22,False,False
1366,2014-10-20 07:28:24,False,False
1368,2014-10-20 07:28:42,False,False
1369,2014-10-20 07:28:44,False,False
1371,2014-10-20 07:29:04,False,False
1372,2014-10-20 07:29:06,False,False
1373,2014-10-20 07:29:08,False,False
1374,2014-10-20 07:29:16,False,False
1375,2014-10-20 07:29:20,False,False
1377,2014-10-20 07:30:19,False,False
1378,2014-10-20 07:30:27,False,False
1379,2014-10-20 07:30:29,False,False
1380,2014-10-20 07:30:35,False,False
1381,2014-10-20 07:30:41,False,False
1382,2014-10-20 07:30:43,False,False
1383,2014-10-20 07:30:45,False,False
1384,2014-10-20 07:30:47,False,False
1385,2014-10-20 07:30:51,False,False
1386,2014-10-20 07:30:53,False,False
1388,2014-10-20 07:33:10,False,False
1389,2014-10-20 07:33:12,False,False
1390,2014-10-20 07:33:25,False,False
1391,2014-10-20 07:33:26,False,False
1392,2014-10-20 07:33:29,False,False
1393,2014-10-20 07:33:31,False,False
1394,2014-10-20 07:33:39,False,False
1395,2014-10-20 07:33:41,False,False
1396,2014-10-20 07:34:05,False,False
1397,2014-10-20 07:34:07,False,False
1398,2014-10-20 07:34:15,False,False
1399,2014-10-20 07:34:17,False,False
1400,2014-10-20 07:34:19,False,False
1401,2014-10-20 07:34:35,False,False
1402,2014-10-20 07:34:37,False,False
1403,2014-10-20 07:34:45,False,False
1404,2014-10-20 07:34:47,False,False
1405,2014-10-20 07:34:51,False,False
1406,2014-10-20 07:34:53,False,False
1407,2014-10-20 07:34:55,False,False
1408,2014-10-20 07:34:57,False,False
1409,2014-10-20 07:35:01,False,False
1410,2014-10-20 07:35:08,False,False
1411,2014-10-20 07:35:09,False,False
1412,2014-10-20 07:35:12,False,False
1413,2014-10-20 07:35:14,False,False
1414,2014-10-20 07:35:24,False,False
1415,2014-10-20 07:35:26,False,False
1416,2014-10-20 07:35:30,False,False
1417,2014-10-20 07:35:36,False,False
1418,2014-10-20 07:35:44,False,False
1419,2014-10-20 07:35:46,False,False
1420,2014-10-20 07:35:48,False,False
1421,2014-10-20 07:35:50,False,False
1422,2014-10-20 07:35:52,False,False
1424,2014-10-20 07:38:48,False,False
1444,2014-10-20 13:33:54,True,True
1445,2014-10-20 13:33:56,False,False
1450,2014-10-20 19:03:41,True,True
1451,2014-10-20 19:03:43,False,False
1452,2014-10-20 19:03:47,False,False
1453,2014-10-20 19:03:49,False,False
1454,2014-10-20 19:03:51,False,False
1455,2014-10-20 19:03:55,False,False
1456,2014-10-20 19:03:57,False,False
1457,2014-10-20 19:03:59,False,False
1458,2014-10-20 19:04:05,False,False
1459,2014-10-20 19:04:07,False,False
1460,2014-10-20 19:04:09,False,False
1481,2014-10-20 19:13:45,True,True
1482,2014-10-20 19:13:51,False,False
1483,2014-10-20 19:13:53,False,False
1484,2014-10-20 19:13:57,False,False
1485,2014-10-20 19:13:59,False,False
1486,2014-10-20 19:14:03,False,False
1487,2014-10-20 19:14:05,False,False
1488,2014-10-20 19:14:07,False,False
1489,2014-10-20 19:14:21,False,False
1490,2014-10-20 19:14:27,False,False
1491,2014-10-20 19:14:33,False,False
1492,2014-10-20 19:14:35,False,False
1493,2014-10-20 19:14:48,False,False
1494,2014-10-20 19:14:52,False,False
1495,2014-10-20 19:15:04,False,False
1496,2014-10-20 19:15:06,False,False
1497,2014-10-20 19:15:10,False,False
1498,2014-10-20 19:15:12,False,False
1499,2014-10-20 19:15:14,False,False
1500,2014-10-20 19:15:18,False,False
1501,2014-10-20 19:15:20,False,False
1502,2014-10-20 19:15:22,False,False
1503,2014-10-20 19:15:26,False,False
1504,2014-10-20 19:15:28,False,False
1505,2014-10-20 19:15:30,False,False
1506,2014-10-20 19:15:32,False,False
1507,2014-10-20 19:15:34,False,False
1508,2014-10-20 19:15:38,False,False
1509,2014-10-20 19:15:50,False,False
1510,2014-10-20 19:15:52,False,False
1511,2014-10-20 19:15:54,False,False
1512,2014-10-20 19:16:02,False,False
1513,2014-10-20 19:16:04,False,False
1514,2014-10-20 19:16:06,False,False
1515,2014-10-20 19:16:10,False,False
1516,2014-10-20 19:16:26,False,False
1517,2014-10-20 19:16:29,False,False
1518,2014-10-20 19:16:31,False,False
1519,2014-10-20 19:16:33,False,False
1520,2014-10-20 19:16:35,False,False
1521,2014-10-20 19:16:41,False,False
1522,2014-10-20 19:16:45,False,False
1523,2014-10-20 19:16:49,False,False
1524,2014-10-20 19:16:57,False,False
1525,2014-10-20 19:16:59,False,False
1526,2014-10-20 19:17:01,False,False
1527,2014-10-20 19:17:03,False,False
1528,2014-10-20 19:17:05,False,False
