,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
0,2956,417,610062,NA,NA,À‚»ÿ…˙Ú∫,0,1,49,NA,2016/8/1 11:05,NA,NA,NA,0,NA,NA,caipu/104001.jpg,1442
1,2958,417,609957,NA,NA,√…π≈øæ—ÚÕ»,0,1,48,NA,2016/8/1 11:07,NA,NA,NA,0,NA,NA,caipu/202003.jpg,1442
2,2961,417,609950,NA,NA,¥ÛÀ‚‹»≤À,0,1,30,NA,2016/8/1 11:07,NA,NA,NA,0,NA,NA,caipu/303001.jpg,1442
3,2966,417,610038,NA,NA,÷•¬Èøæ◊œ≤À,0,1,25,NA,2016/8/1 11:11,NA,NA,NA,0,NA,NA,caipu/105002.jpg,1442
4,2968,417,610003,NA,NA,À‚œ„∞¸,0,1,13,NA,2016/8/1 11:11,NA,NA,NA,0,NA,NA,caipu/503002.jpg,1442
5,1899,301,610019,NA,NA,∞◊’∂º¶,0,1,88,NA,2016/8/1 11:15,NA,NA,NA,0,NA,NA,caipu/204002.jpg,1095
6,1902,301,609991,NA,NA,œ„øæ≈£≈≈,0,1,55,NA,2016/8/1 11:19,NA,NA,NA,0,NA,NA,caipu/201001.jpg,1095
7,1906,301,609983,NA,NA,∏…π¯ÃÔº¶,0,1,88,NA,2016/8/1 11:22,NA,NA,NA,0,NA,NA,caipu/205003.jpg,1095
8,1907,301,609981,NA,NA,π‘≤Ë€ËΩ∏Î◊”Ã¿,0,1,48,NA,2016/8/1 11:22,NA,NA,NA,0,NA,NA,caipu/205001.jpg,1095
9,1908,301,610030,NA,NA,∑¨«—”–ª˙ª®≤À,0,1,32,NA,2016/8/1 11:23,NA,NA,NA,0,NA,NA,caipu/304004.jpg,1095
10,1910,301,610011,NA,NA,∞◊∑π/¥ÛÕÎ,0,1,10,NA,2016/8/1 11:31,NA,NA,NA,0,NA,NA,caipu/601005.jpg,1095
11,2916,413,609966,NA,NA,÷• øª‚≤® ø∂Ÿ¡˙œ∫,0,1,175,NA,2016/8/1 12:42,NA,NA,NA,0,NA,NA,caipu/101001.jpg,1147
12,2919,413,609965,NA,NA,¥–Ω™≥¥–∑,0,1,109,NA,2016/8/1 12:43,NA,NA,NA,0,NA,NA,caipu/102005.jpg,1147
13,2921,413,609936,NA,NA,∆§µ∞ ›»‚÷‡,0,1,16,NA,2016/8/1 12:43,NA,NA,NA,0,NA,NA,caipu/602002.jpg,1147
14,2923,413,609978,NA,NA,±¨≥¥˜≠¬µ,0,1,55,NA,2016/8/1 12:44,NA,NA,NA,0,NA,NA,caipu/106003.jpg,1147
15,2925,413,609983,NA,NA,∏…π¯ÃÔº¶,0,1,88,NA,2016/8/1 12:44,NA,NA,NA,0,NA,NA,caipu/205003.jpg,1147
