index用的,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
0,2956,417,610062,,,蒜蓉生蚝,0,1,49,,2016/8/111:05:00,,,,0,,,caipu/104001.jpg,1442
1,2958,417,609957,,,蒙古烤羊腿,0,1,48,,2016/8/111:07:00,,,,0,,,caipu/202003.jpg,1442
2,2961,417,609950,,,大蒜苋菜,0,1,30,,2016/8/111:07:00,,,,0,,,caipu/303001.jpg,1442
3,2966,417,610038,,,芝麻烤紫菜,0,1,25,,2016/8/111:11:00,,,,0,,,caipu/105002.jpg,1442
4,2968,417,610003,,,蒜香包,0,1,13,,2016/8/111:11:00,,,,0,,,caipu/503002.jpg,1442
5,1899,301,610019,,,白斩鸡,0,1,88,,2016/8/111:15:00,,,,0,,,caipu/204002.jpg,1095
6,1902,301,609991,,,香烤牛排,0,1,55,,2016/8/111:19:00,,,,0,,,caipu/201001.jpg,1095
7,1906,301,609983,,,干锅田鸡,0,1,88,,2016/8/111:22:00,,,,0,,,caipu/205003.jpg,1095
8,1907,301,609981,,,桂圆枸杞鸽子汤,0,1,48,,2016/8/111:22:00,,,,0,,,caipu/205001.jpg,1095
9,1908,301,610030,,,番茄有机花菜,0,1,32,,2016/8/111:23:00,,,,0,,,caipu/304004.jpg,1095
10,1910,301,610011,,,白饭/大碗,0,1,10,,2016/8/111:31:00,,,,0,,,caipu/601005.jpg,1095
11,2916,413,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/112:42:00,,,,0,,,caipu/101001.jpg,1147
12,2919,413,609965,,,葱姜炒蟹,0,1,109,,2016/8/112:43:00,,,,0,,,caipu/102005.jpg,1147
13,2921,413,609936,,,皮蛋瘦肉粥,0,1,16,,2016/8/112:43:00,,,,0,,,caipu/602002.jpg,1147
14,2923,413,609978,,,爆炒鳝碌,0,1,55,,2016/8/112:44:00,,,,0,,,caipu/106003.jpg,1147
15,2925,413,609983,,,干锅田鸡,0,1,88,,2016/8/112:44:00,,,,0,,,caipu/205003.jpg,1147
16,2927,413,610050,,,番茄甘蓝,0,1,33,,2016/8/112:45:00,,,,0,,,caipu/301004.jpg,1147
17,2926,413,609984,,,重庆特色油烧兔,0,1,69,,2016/8/112:45:00,,,,0,,,caipu/205004.jpg,1147
18,2928,413,610013,,,番茄炖秋葵,0,1,35,,2016/8/112:46:00,,,,0,,,caipu/302002.jpg,1147
19,2930,413,610032,,,长城窖酿解百纳红酒干红葡萄酒,0,1,35,,2016/8/112:48:00,,,,0,,,caipu/401001.jpg,1147
20,2932,413,609973,,,紫薯面包卷,0,1,20,,2016/8/112:49:00,,,,0,,,caipu/502003.jpg,1147
21,2934,413,610007,,,桂圆肉红豆八宝饭,0,1,39,,2016/8/112:50:00,,,,0,,,caipu/601001.jpg,1147
22,2938,415,609964,,,避风塘炒蟹,0,1,48,,2016/8/112:51:00,,,,0,,,caipu/102004.jpg,1166
23,2935,413,609992,,,番茄炖牛腩,0,1,35,,2016/8/112:51:00,,,,0,,,caipu/201002.jpg,1147
24,2936,413,610012,,,香菇鹌鹑蛋,0,1,39,,2016/8/112:52:00,,,,0,,,caipu/302001.jpg,1147
25,2940,415,610064,,,花蛤蒸蛋,0,1,37,,2016/8/112:52:00,,,,0,,,caipu/104003.jpg,1166
26,2937,413,610023,,,啤酒鸭,0,1,48,,2016/8/112:53:00,,,,0,,,caipu/204006.jpg,1147
27,2939,413,609931,,,焖猪手,0,1,58,,2016/8/112:54:00,,,,0,,,caipu/203002.jpg,1147
28,2643,392,609930,,,豌豆薯仔猪骨汤,0,1,39,,2016/8/112:58:00,,,,0,,,caipu/203001.jpg,1094
29,2942,415,609959,,,小炒羊腰,0,1,36,,2016/8/112:59:00,,,,0,,,caipu/202005.jpg,1166
30,2652,392,609936,,,皮蛋瘦肉粥,0,1,16,,2016/8/112:59:00,,,,0,,,caipu/602002.jpg,1094
31,2650,392,609935,,,山药养生粥,0,1,19,,2016/8/112:59:00,,,,0,,,caipu/602001.jpg,1094
32,2943,415,609957,,,蒙古烤羊腿,0,1,48,,2016/8/112:59:00,,,,0,,,caipu/202003.jpg,1166
33,2654,392,609937,,,冰糖红豆薏米粥,0,1,15,,2016/8/112:59:00,,,,0,,,caipu/602003.jpg,1094
34,2649,392,609934,,,芹菜炒腰花,0,1,18,,2016/8/112:59:00,,,,0,,,caipu/203005.jpg,1094
35,2656,392,609938,,,小米南瓜粥,0,1,13,,2016/8/112:59:00,,,,0,,,caipu/602004.jpg,1094
36,2657,392,609939,,,香菇鸡肉粥,0,1,15,,2016/8/113:00:00,,,,0,,,caipu/602005.jpg,1094
37,2664,392,609943,,,剁椒鱼头,0,1,55,,2016/8/113:00:00,,,,0,,,caipu/103004.jpg,1094
38,2667,392,609945,,,农夫山泉NFC果汁100%橙汁,0,1,6,,2016/8/113:00:00,,,,0,,,caipu/404001.jpg,1094
39,2665,392,609944,,,水煮鱼,0,1,65,,2016/8/113:00:00,,,,0,,,caipu/103005.jpg,1094
40,2946,415,610016,,,五彩藕苗,0,1,35,,2016/8/113:01:00,,,,0,,,caipu/302005.jpg,1166
41,2669,392,609946,,,蒜蓉生蚝,0,1,38,,2016/8/113:01:00,,,,0,,,caipu/404002.jpg,1094
42,2675,392,609948,,,露露无糖杏仁露,0,1,7,,2016/8/113:02:00,,,,0,,,caipu/404004.jpg,1094
43,2670,392,609947,,,北冰洋汽水,0,1,5,,2016/8/113:02:00,,,,0,,,caipu/404003.jpg,1094
44,2948,415,609930,,,豌豆薯仔猪骨汤,0,1,39,,2016/8/113:02:00,,,,0,,,caipu/203001.jpg,1166
45,2677,392,609949,,,意文柠檬汁,0,1,13,,2016/8/113:02:00,,,,0,,,caipu/404005.jpg,1094
46,2680,392,609950,,,大蒜苋菜,0,1,30,,2016/8/113:03:00,,,,0,,,caipu/303001.jpg,1094
47,2684,392,609952,,,美妙绝伦之白莲花,0,1,29,,2016/8/113:04:00,,,,0,,,caipu/303003.jpg,1094
48,2682,392,609951,,,炝炒大白菜,0,1,29,,2016/8/113:04:00,,,,0,,,caipu/303002.jpg,1094
49,2689,392,609954,,,凉拌蒜蓉西兰花,0,1,29,,2016/8/113:05:00,,,,0,,,caipu/304001.jpg,1094
50,2693,392,609956,,,孜然羊排,0,1,88,,2016/8/113:05:00,,,,0,,,caipu/202002.jpg,1094
51,2687,392,609953,,,凉拌菠菜,0,1,27,,2016/8/113:05:00,,,,0,,,caipu/303004.jpg,1094
